RPT DATE,RPT NUM.,RIG,WELL NAME,JOB,RIG SUPERV,RIG PHONE,CONTRACTOR,ELEVATION,SPUD DATE,DFS,DOL,MD,PRESENT OPERATIONS,ACTIVITY PLANNED,Report_title,index,FROM,TO,HRS,PHASE,CODE,NPT,OPERATIONS,MD/TVD,24 HR FTG,HRS DRLG
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,45,06:00,07:30,1.5,Production Casing,Run Csg & Cement,,"Run 126 joints of 7' x 38 ppf, T95 JFELION casing
To depth of 5,936'.    Rotate casing 10 rpm, torque 6K",,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,46,07:30,08:30,1.0,Production Casing,Run Csg & Cement,,"Rig down CRT and casing equipment
Pick Up/Slack Off  220K",,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,47,08:30,09:30,1.0,Production Casing,Run Csg & Cement,,"Pick up hanger and run in hole
Remove casing tongs off rig floor
Make up crossover on top drive",,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,48,09:30,15:30,6.0,Production Casing,Run Csg & Cement,,"Trip in hole with liner on  5"" drill pipe from 5,936' to 9,018'
Down weight 220K.  Pump through floats.  Install rotating head
Run  liner on drill pipe, picking up and drifting  pipe from 9,018' to 10, 770'",,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,49,15:30,20:00,4.5,Production Casing,Cond Mud & Circ,,Circulate to cool hole for cementing,,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,50,20:00,22:00,2.0,Production Casing,Run Csg & Cement,,"Break connection and drop ball to set hanger slips
Pump down, seat ball and pressure up.  Slips did not set hydraulically.
Worked pipe to set slips at various positions.
Attempted to mechanically set slip.  Would not set.",,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,51,22:00,04:00,6.0,Production Casing,Trips,,"Trip out of hole with liner to hanger, laying down 5"" drill pipe",,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,52,04:00,05:00,1.0,Production Casing,Cut off Drill Line,,Cut and slip drilling line,,,
 01/01/2021,74, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Bob F, Duane W", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,63.0,73,10987.0, RIGGING UP WYOMING CASING," BREAK OFF HANGER ASSEMBLY AND CHECK FOR SETTING BALL.  CONTINUE RUNNING CASING TO 10,787'.",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01012021_01012021_15_reporttmp.pdf,53,05:00,06:00,1.0,Production Casing,Run Csg & Cement,,Rig up Wyoming Casing,,,
 01/02/2021,75, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,64.0,74,10987.0, CIRCULATING FOR TEMPERATURE," CEMENT 7"" CASING, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP BOPE ON 7"" AND TEST",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01022021_01022021_14_reporttmp.pdf,45,06:00,07:30,1.5,Production Drilling,Other,,"Pre tour safety meeting
Break off bottom sub an liner hanger.  Located setting ball in ball catch.",,,
 01/02/2021,75, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,64.0,74,10987.0, CIRCULATING FOR TEMPERATURE," CEMENT 7"" CASING, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP BOPE ON 7"" AND TEST",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01022021_01022021_14_reporttmp.pdf,46,07:30,10:30,3.0,Production Drilling,Other,,"Break off and lay down liner hanger assembly
Attempted to drift liner hanger.  
Did not drift",,,
 01/02/2021,75, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,64.0,74,10987.0, CIRCULATING FOR TEMPERATURE," CEMENT 7"" CASING, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP BOPE ON 7"" AND TEST",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01022021_01022021_14_reporttmp.pdf,47,10:30,18:30,8.0,Production Drilling,Run Csg & Cement,,"Rig up and run 7"" casing from 5,933' to 10,780'
229 total joints run in well
Pick up landing collar and space out",,,
 01/02/2021,75, Frontier Rig 16, FORGE 16A [78]-32, Drilling 65° Tangent," Leroy S, , Paul S, Duane W, Virgil W.", 281-854-6858, Frontier Drilling,5415.1, 10/30/2020,64.0,74,10987.0, CIRCULATING FOR TEMPERATURE," CEMENT 7"" CASING, NIPPLE DOWN BOPE, INSTALL WELLHEAD, NIPPLE UP BOPE ON 7"" AND TEST",Utah_Forge_FORGE_16A_(78)-32_Drilling-C_01022021_01022021_14_reporttmp.pdf,48,18:30,19:30,1.0,Production Drilling,Run Csg & Cement,,"Rig down casing tools
Install cement head",,,
